SOURCE,YEAR,COUNTR,REGION,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,X,Y,DEN1,DEN2,DEN3,DEN4,N_TYPES
DE_504.pdf,1976,French Polynesia,Asia,0,87,-999,-145.471768,-15.475612,1,1,0,0,2
DE_2655.pdf,1989,French Polynesia,Asia,0,87,-999,-139.02317,-8.862005,1,0,1,0,3
DE_14657.pd,2001,French Polynesia,Asia,0,87,-999,-134.978771,-9.757107,1,0,0,0,3
DE_16073.pd,2007,Gabon,Africa,0,89,-999,12.157888,1.598475,0,1,0,0,1
DE_16073.pd,2010,Gabon,Africa,0,89,-999,13.788986,-0.622679,0,1,0,0,1
DE_16048.pd,2010,Benin,Africa,0,94,-999,0.624931,7.962766,1,0,1,0,2
JN379480,1977,Grenada,Americas,0,99,-999,-61.680889,12.115339,1,0,0,0,1
JN379482,1978,Grenada,Americas,0,99,-999,-61.680889,12.115339,1,0,0,0,1
JN379484,1981,Grenada,Americas,0,99,-999,-61.680889,12.115339,1,0,0,0,1
DE_4795.pdf,1995,Grenada,Americas,0,99,-999,-61.680889,12.115339,1,0,0,0,1
MOH14,2002,Guatemala,Americas,0,103,-999,-90.017848,16.975562,0,1,0,0,1
MOH34,2009,Guatemala,Americas,0,103,-999,-89.006499,15.694925,0,1,0,1,2
EF105378,1981,Guinea,Africa,0,106,-999,-11.80275,11.070603,0,1,0,0,1
FJ502887,2001,Guyana,Americas,0,107,-999,-58.982859,4.798235,1,0,0,0,1
JN415506,2008,Guyana,Americas,0,107,-999,-58.982859,4.798235,1,0,0,0,1
DE_4784.pdf,1983,Haiti,Americas,0,108,-999,-72.683686,18.938415,1,0,0,0,1
JF969284,2010,Haiti,Americas,0,108,-999,-72.683686,18.938415,1,0,0,0,1
JF967804,2008,Honduras,Americas,0,111,-999,-86.596599,14.823165,1,0,0,0,1
JX298575,2012,Kiribati,Asia,0,135,-999,-157.394486,1.844011,1,0,0,0,1
JN415509,2007,Lao PDR,Asia,0,139,-999,103.773613,18.496002,1,0,0,0,1
FJ502874,2005,Madagascar,Africa,0,150,-999,46.700303,-19.379362,1,0,0,0,1
EU448412,2006,Madagascar,Africa,0,150,-999,46.700303,-19.379362,1,0,0,0,1
DE_16307,2009,Malaysia,Asia,0,153,-999,102.125244,3.864255,1,1,1,1,4
DE_16307,2010,Malaysia,Asia,0,153,-999,102.125244,3.864255,1,1,1,1,4
HE565699,2011,Maldives,Asia,0,154,-999,72.924415,3.54971,1,0,0,0,1
JX891658,2003,Marshall Islands,Asia,0,157,-999,171.3647791,7.124905626,1,0,0,0,1
DE_16217.pd,2008,New Caledonia,Asia,0,178,-999,165.663269,-21.299276,1,0,0,1,2
DE_16156.pd,1995,Nicaragua,Americas,0,180,-999,-85.03281,12.840914,0,1,1,0,2
DE_2187.pdf,1998,Nicaragua,Americas,0,180,-999,-85.03281,13.1,0,1,1,0,2
FJ502863,2007,Nigeria,Africa,0,182,-999,3.895504,7.409858,1,0,0,0,1
DE_1945.pdf,1976,Niue,Asia,0,183,-999,-169.860169,-19.050005,1,1,0,0,2
DE_1945.pdf,1977,Niue,Asia,0,183,-999,-169.860169,-19.050005,1,1,0,0,2
DE_1945.pdf,1979,Niue,Asia,0,183,-999,-169.860169,-19.050005,1,1,0,0,2
DE_1945.pdf,1980,Niue,Asia,0,183,-999,-169.860169,-19.050005,1,1,0,0,2
JX298573,2012,Niue,Asia,0,183,-999,-169.860169,-19.050005,1,0,0,0,2
JF967773,2009,Pakistan,Asia,0,188,-999,74.3384,31.544,0,1,1,1,3
JN415515,2000,Palau,Asia,0,189,-999,134.519404,7.426044,1,0,0,0,1
DE_14504.pd,2002,Paraguay,Americas,0,194,-999,-54.636,-22.5327,0,1,1,0,2
DE_14504.pd,2003,Paraguay,Americas,0,194,-999,-54.636,-21.906638,0,1,1,0,2
DQ518643,1994,Philippines,Asia,0,196,-999,123.196,10.55,0,1,0,0,1
DE_924.pdf,1997,Philippines,Asia,0,196,-999,123.196,14.6,0,0,1,0,2
JN568263,2003,Philippines,Asia,0,196,-999,123.196,10.55,1,1,1,1,4
JN575591,2004,Philippines,Asia,0,196,-999,123.196,10.55,1,0,0,1,4
JN415516,2005,Philippines,Asia,0,196,-999,123.196,10.55,1,1,1,1,4
EU448433,2006,Philippines,Asia,0,196,-999,123.196,10.55,0,0,1,0,4
DE_16132.pd,2007,Philippines,Asia,0,196,-999,123.196,14.266,1,1,1,1,4
DE_16132.pd,2008,Philippines,Asia,0,196,-999,123.196,14.06382,1,1,1,1,4
DE_16132.pd,2009,Philippines,Asia,0,196,-999,123.196,14.06382,1,1,1,1,4
JN575570,2010,Philippines,Asia,0,196,-999,123.196,10.55,1,1,1,1,4
DE_9.pdf,1963,Puerto Rico,Americas,0,200,-999,-65.66,18.355,0,0,1,0,1
DE_9.pdf,1964,Puerto Rico,Americas,0,200,-999,-66.112,18.355,0,0,1,0,1
DE_9.pdf,1977,Puerto Rico,Americas,0,200,-999,-66.158,18.475,1,1,1,0,3
DE_14637.pd,1981,Puerto Rico,Americas,0,200,-999,-65.975075,18.391,1,1,0,1,4
DE_14725.pd,1982,Puerto Rico,Americas,0,200,-999,-66.0575,18.391,1,0,0,1,4
DE_16142.pd,1986,Puerto Rico,Americas,0,200,-999,-66.463766,18.225313,1,1,0,1,4
DE_16142.pd,1987,Puerto Rico,Americas,0,200,-999,-66.463766,18.225313,1,1,0,1,4
DE_333.pdf,1992,Puerto Rico,Americas,0,200,-999,-66.463766,18.225313,1,1,0,1,4
DE_16142.pd,1993,Puerto Rico,Americas,0,200,-999,-66.463766,18.225313,1,1,0,1,4
DE_16053.pd,1999,Puerto Rico,Americas,0,200,-999,-65.957165,18.391,1,1,1,1,4
DE_16053.pd,2000,Puerto Rico,Americas,0,200,-999,-65.87079,18.48661,1,1,1,0,4
DE_16053.pd,2001,Puerto Rico,Americas,0,200,-999,-66.043053,18.471794,1,1,1,0,4
DE_16142.pd,2002,Puerto Rico,Americas,0,200,-999,-66.113505,18.225313,1,1,1,0,4
